identifier,city,state,country,openDate,distance,latitude,longitude,parentGeoNodeID,active,languageID,hasGasDepartment,hasTiresDepartment,hasFoodDepartment,hasHearingDepartment,hasPharmacyDepartment,hasOpticalDepartment,hasBusinessDepartment,hasPhotoCenterDepartment,gasPrices,locationName,isShipToWarehouse,isWarehousePickup,enableShipToHome,isBusinessWarehouse
246,NEWARK,DE,US,10/1/1998,314.3531181,39.675,-75.649,10279,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.129,Christiana,TRUE,TRUE,FALSE,FALSE
247,NEWPORT NEWS,VA,US,9/17/1988,150.1336808,37.106,-76.495,10910,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.099,Newport News,TRUE,TRUE,FALSE,FALSE
248,NORTH WALES,PA,US,7/10/1999,128.5461254,40.238,-75.237,10789,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,Montgomeryville,TRUE,TRUE,FALSE,FALSE
249,DURHAM,NC,US,11/30/2000,247.2101699,36.028,-78.914,10710,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.259,Durham,TRUE,TRUE,FALSE,FALSE
251,CALGARY,AB,CA,8/28/1986,1033.187456,50.99,-114.044,10003,1,-1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0.869,S Calgary,TRUE,TRUE,FALSE,FALSE
252,BARRIE,ON,CA,12/7/1993,498.4476275,44.335,-79.681,10044,1,-1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,0.869,Barrie,TRUE,TRUE,FALSE,FALSE
253,BURLINGTON,ON,CA,12/5/1995,343.3895329,43.344,-79.825,10044,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Burlington ON,TRUE,TRUE,FALSE,FALSE
254,GRANDE PRAIRIE,AB,CA,3/13/1996,942.2699051,55.169,-118.846,10003,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.909,Grande Prairie,TRUE,TRUE,FALSE,FALSE
255,PORT COQUITLAM,BC,CA,10/15/1998,1354.366849,49.256,-122.745,10011,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.949,Port Coquitlam,TRUE,TRUE,FALSE,FALSE
256,VICTORIA,BC,CA,3/11/1999,1419.048283,48.458,-123.502,10011,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.909,Langford,TRUE,TRUE,FALSE,FALSE
257,SUDBURY,ON,CA,11/16/1999,479.7337762,46.505,-80.947,10044,1,-1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,Sudbury,TRUE,TRUE,FALSE,FALSE
258,EDMONTON,AB,CA,4/19/1990,880.1487911,53.455,-113.469,10003,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.909,S Edmonton,TRUE,TRUE,FALSE,FALSE
259,LANGLEY,BC,CA,2/24/2005,1359.354236,49.12,-122.655,10011,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.909,Langley,TRUE,TRUE,FALSE,FALSE
301,DANVERS,MA,US,11/29/1990,18.04488919,42.557,-70.979,10517,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.199,Danvers,TRUE,TRUE,FALSE,FALSE
302,WEST SPRINGFIELD,MA,US,11/8/1990,61.05606786,42.132,-72.622,10517,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.259,West Springfield,TRUE,TRUE,FALSE,FALSE
303,AVON,MA,US,9/12/1991,128.5296307,42.135,-71.068,10517,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,Avon MA,TRUE,TRUE,FALSE,FALSE
304,BROOKFIELD,CT,US,11/21/1991,128.6265123,41.443,-73.405,10268,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.379,Brookfield,TRUE,TRUE,FALSE,FALSE
305,NANUET,NY,US,6/30/1992,98.15412696,41.107,-74.026,10685,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.379,Nanuet,TRUE,TRUE,FALSE,FALSE
306,CLIFTON,NJ,US,7/1/1992,78.5988619,40.831,-74.136,10657,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.399,Clifton,TRUE,TRUE,FALSE,FALSE
307,NASHUA,NH,US,3/18/1992,24.85901233,42.703,-71.441,10642,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,Nashua,TRUE,TRUE,FALSE,FALSE
308,WALTHAM,MA,US,11/10/1993,127.0971508,42.396,-71.264,10517,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,Waltham,TRUE,TRUE,FALSE,FALSE
310,LAWRENCE,NY,US,8/12/1993,70.12297566,40.631,-73.738,10685,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Lawrence,TRUE,TRUE,FALSE,FALSE
312,MILFORD,CT,US,4/22/1993,125.2733383,41.249,-73.024,10268,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.439,Milford,TRUE,TRUE,FALSE,FALSE
313,WATERBURY,CT,US,10/13/1993,22.68848211,41.543,-72.971,10268,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.399,Waterbury,TRUE,TRUE,FALSE,FALSE
314,COLCHESTER,VT,US,8/25/1993,176.3310835,44.506,-73.177,10899,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Colchester,TRUE,TRUE,FALSE,FALSE
315,WHARTON,NJ,US,11/9/1993,85.18766223,40.907,-74.571,10657,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.359,Wharton,TRUE,TRUE,FALSE,FALSE
316,STATEN ISLAND,NY,US,12/15/1995,60.69946019,40.573,-74.17,10685,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.479,Staten Island,TRUE,TRUE,FALSE,FALSE
317,LANCASTER,PA,US,5/24/1996,321.9612072,40.052,-76.256,10789,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.459,Lancaster PA,TRUE,TRUE,FALSE,FALSE
318,BROOKLYN,NY,US,11/21/1996,67.4970629,40.655,-74.007,10685,1,-1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,Brooklyn,TRUE,TRUE,FALSE,FALSE
319,DEDHAM,MA,US,3/17/1998,125.977842,42.231,-71.175,10517,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.299,Dedham,TRUE,TRUE,FALSE,FALSE
320,UNION,NJ,US,11/19/1998,68.89497129,40.694,-74.29,10657,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.309,Union,TRUE,TRUE,FALSE,FALSE
