ICAO Code,Manufacturer,Model,Engine Class,Number of Engines,Min Approach Speed,MTOW,MALW,Weight Class,Parking,Class,Registration Count
P750,PACIFIC AEROSPACE,Pacific Aerospace P-750 Xstol,Turboprop,1,72,7500,7125,Light,2277.6,Fixed-wing,23
PA11,PIPER,Piper PA-11 Cub Special,Piston,1,46,1220,1220,Light,1315,Fixed-wing,431
PA12,PIPER,Piper 12 Supercruiser,Piston,1,56,1750,1750,Light,1264.9,Fixed-wing,1234
PA16,PIPER,Piper PA-16 Clipper,Piston,1,56,1650,1650,Light,986.4,Fixed-wing,271
PA18,PIPER,Piper 18 Super Cub,Piston,1,48,1750,1750,Light,1245.5,Fixed-wing,2894
PA20,PIPER,Piper PA-20 Pacer,Piston,1,55,1950,1950,Light,1002.2,Fixed-wing,330
PA22,PIPER,Piper 22 Tri-Pacer,Piston,1,56,2000,2000,Light,1002.2,Fixed-wing,1210
PA23,PIPER,Piper PA-23-150/160 Apache,Piston,2,85,4800,4800,Light,1538.7,Fixed-wing,247
PA24,PIPER,Piper PA-24 Comanche,Piston,1,75,2900,2900,Light,1370.3,Fixed-wing,2417
PA25,PIPER,Piper PA-25 Pawnee,Piston,1,69,2900,2900,Light,1376.8,Fixed-wing,468
PA27,PIPER,Piper Aztec,Piston,2,91,5200,4940,Light,1708.6,Fixed-wing,955
PA30,PIPER,Piper PA-30 Turbo Twin Comanche/Turbo Twin Comanche,Piston,2,76,3600,3600,Light,1413.4,Fixed-wing,80
PA31,PIPER,Piper Navajo PA-31,Piston,2,95,6500,6500,Light,1906.7,Fixed-wing,360
PA32,PIPER,Piper Cherokee Six,Piston,1,78,3600,3600,Light,1504.2,Fixed-wing,1666
PA34,PIPER,Piper PA-34 Seneca,Piston,2,81,4750,4513,Light,1644.5,Fixed-wing,1010
PA38,PIPER,Piper Tomahawk PA38,Piston,1,60,1670,1670,Light,1236.4,Fixed-wing,450
PA44,PIPER,Piper Seminole,Piston,2,66,3800,3800,Light,1584.5,Fixed-wing,499
PA46,PIPER,Piper Malibu,Piston,1,75,4340,3900,Light,1796.5,Fixed-wing,222
PAT4,PIPER,Piper PA-31T3-500 T-1040,Turboprop,2,100,9000,9000,Light,2090.2,Fixed-wing,2
PAY1,PIPER,Piper Cheyenne 1,Piston,2,92,8700,8700,Light,2089.9,Fixed-wing,95
PAY2,PIPER,Piper Cheyenne 2,Piston,2,100,9474,9000,Light,2089.9,Fixed-wing,111
PAY3,PIPER,Piper PA-42-720 Cheyenne 3,Turboprop,2,113,11200,10330,Light,2791.1,Fixed-wing,20
PAY4,PIPER,Piper Cheyenne 400,Turboprop,2,109,12050,11100,Light,2791.1,Fixed-wing,25
PC12,PILATUS,Pilatus PC-12,Turboprop,1,85,10450,9921,Light,3309.2,Fixed-wing,1151
PC24,PILATUS,Pilatus PC-24,Jet,2,107,18300,16900,Medium,3967.7,Fixed-wing,69
PRM1,RAYTHEON- HAWKER BEECHCRAFT,Raytheon Premier 1/390 Premier 1,Jet,2,120,12500,11600,Light,2779.5,Fixed-wing,199
R721,BOEING,Boeing 727-100RE Super 27,Jet,3,126,169000,142500,Medium,16307.6,Fixed-wing,1
R722,BOEING,Boeing 727-200RE Super 27,Jet,3,136,197000,154500,Medium,18667.6,Fixed-wing,41
RJ1H,AVRO,Avro RJ-100 Avroliner,Jet,4,123,101500,88500,Medium,10285.1,Fixed-wing,1
RJ85,AVRO,Avro RJ-85 Avroliner,Jet,4,122,97000,85000,Medium,9513.8,Fixed-wing,15
